종목코드,종목명
002720.KS,국제약품
083420.KS,그린케미칼
014530.KS,극동유화
014280.KS,금강공업
014285.KS,금강공업우
008870.KS,금비
001570.KS,금양
002990.KS,금호건설
002995.KS,금호건설우
011780.KS,금호석유화학
011785.KS,금호석유화학우
214330.KS,금호에이치티
001210.KS,금호전기
073240.KS,금호타이어
092440.KS,기신정기
000270.KS,기아
024110.KS,기업은행
013700.KS,까뮤이앤씨
004540.KS,깨끗한나라
004545.KS,깨끗한나라우
001260.KS,남광토건
008350.KS,남선알미늄
008355.KS,남선알미우
004270.KS,남성
003920.KS,남양유업
003925.KS,남양유업우
025860.KS,남해화학
005720.KS,넥센
005725.KS,넥센우
002350.KS,넥센타이어
002355.KS,넥센타이어1우B
092790.KS,넥스틸
251270.KS,넷마블
090350.KS,노루페인트
090355.KS,노루페인트우
000320.KS,노루홀딩스
000325.KS,노루홀딩스우
006280.KS,녹십자
005250.KS,녹십자홀딩스
005257.KS,녹십자홀딩스2우
004370.KS,농심
072710.KS,농심홀딩스
058730.KS,다스코
030210.KS,다올투자증권
023590.KS,다우기술
145210.KS,다이나믹디자인
483650.KS,달바글로벌
019680.KS,대교
019685.KS,대교우B
006370.KS,대구백화점
008060.KS,대덕
00806K.KS,대덕1우
353200.KS,대덕전자
35320K.KS,대덕전자1우
000490.KS,대동
008110.KS,대동전자
005750.KS,대림바스
006570.KS,대림통상
001680.KS,대상
001685.KS,대상우
084690.KS,대상홀딩스
084695.KS,대상홀딩스우
128820.KS,대성산업
117580.KS,대성에너지
016710.KS,대성홀딩스
0030R0.KS,대신밸류리츠
003540.KS,대신증권
003547.KS,대신증권2우B
003545.KS,대신증권우
009190.KS,대양금속
014160.KS,대영포장
047040.KS,대우건설
003090.KS,대웅
069620.KS,대웅제약
000430.KS,대원강업
006340.KS,대원전선
006345.KS,대원전선우
003220.KS,대원제약
024890.KS,대원화성
002880.KS,대유에이텍
012800.KS,대창
015230.KS,대창단조
001070.KS,대한방직
006650.KS,대한유화
001440.KS,대한전선
084010.KS,대한제강
001790.KS,대한제당
001795.KS,대한제당우
001130.KS,대한제분
003490.KS,대한항공
003495.KS,대한항공우
005880.KS,대한해운
003830.KS,대한화섬
016090.KS,대현
069460.KS,대호에이엘
475560.KS,더본코리아
192080.KS,더블유게임즈
012510.KS,더존비즈온
004830.KS,덕성
004835.KS,덕성우
145720.KS,덴티움
002150.KS,도화엔지니어링
460850.KS,동국씨엠
460860.KS,동국제강
001230.KS,동국홀딩스
023450.KS,동남합성
004140.KS,동방
007590.KS,동방아그로
005960.KS,동부건설
005965.KS,동부건설우
026960.KS,동서
002210.KS,동성제약
102260.KS,동성케미컬
000640.KS,동아쏘시오홀딩스
170900.KS,동아에스티
028100.KS,동아지질
001520.KS,동양
001527.KS,동양2우B
084670.KS,동양고속
082640.KS,동양생명
001525.KS,동양우
008970.KS,동양철관
049770.KS,동원F&B
018500.KS,동원금속
006040.KS,동원산업
030720.KS,동원수산
014820.KS,동원시스템즈
014825.KS,동원시스템즈우
111380.KS,동인기연
163560.KS,동일고무벨트
004890.KS,동일산업
002690.KS,동일제강
000020.KS,동화약품
000150.KS,두산
000157.KS,두산2우B
454910.KS,두산로보틱스
241560.KS,두산밥캣
034020.KS,두산에너빌리티
000155.KS,두산우
336260.KS,두산퓨얼셀
33626K.KS,두산퓨얼셀1우
33626L.KS,두산퓨얼셀2우B
016740.KS,두올
192650.KS,드림텍
024090.KS,디씨엠
003160.KS,디아이
092200.KS,디아이씨
013570.KS,디와이
024900.KS,디와이덕양
210540.KS,디와이파워
032350.KS,롯데관광개발
089860.KS,롯데렌탈
000400.KS,롯데손해보험
023530.KS,롯데쇼핑
020150.KS,롯데에너지머티리얼즈
280360.KS,롯데웰푸드
286940.KS,롯데이노베이트
004000.KS,롯데정밀화학
004990.KS,롯데지주
00499K.KS,롯데지주우
005300.KS,롯데칠성
005305.KS,롯데칠성우
011170.KS,롯데케미칼
071840.KS,롯데하이마트
027740.KS,마니커
001080.KS,만호제강
088980.KS,맥쿼리인프라
094800.KS,맵스리얼티1
138040.KS,메리츠금융지주
090370.KS,메타랩스
118000.KS,메타케어
017180.KS,명문제약
009900.KS,명신산업
012690.KS,모나리자
005360.KS,모나미
070960.KS,모나용평
009680.KS,모토닉
009580.KS,무림P&P
009200.KS,무림페이퍼
033920.KS,무학
008420.KS,문배철강
025560.KS,미래산업
007120.KS,미래아이앤지
085620.KS,미래에셋생명
006800.KS,미래에셋증권
00680K.KS,미래에셋증권2우B
006805.KS,미래에셋증권우
081660.KS,미스토홀딩스
002840.KS,미원상사
268280.KS,미원에스씨
107590.KS,미원홀딩스
134380.KS,미원화학
003650.KS,미창석유
377740.KS,바이오노트
003610.KS,방림
035150.KS,백산
002410.KS,범양건영
007210.KS,벽산
002760.KS,보락
003850.KS,보령
000890.KS,보해양조
003000.KS,부광약품
001270.KS,부국증권
001275.KS,부국증권우
026940.KS,부국철강
011390.KS,부산산업
005030.KS,부산주공
002070.KS,비비안
100220.KS,비상교육
090460.KS,비에이치
005180.KS,빙그레
003960.KS,사조대림
008040.KS,사조동아원
007160.KS,사조산업
014710.KS,사조씨푸드
006090.KS,사조오양
062040.KS,산일전기
001470.KS,삼부토건
028050.KS,삼성E&A
006400.KS,삼성SDI
006405.KS,삼성SDI우
006660.KS,삼성공조
028260.KS,삼성물산
02826K.KS,삼성물산우B
207940.KS,삼성바이오로직스
032830.KS,삼성생명
018260.KS,삼성에스디에스
009150.KS,삼성전기
009155.KS,삼성전기우
005930.KS,삼성전자
005935.KS,삼성전자우
001360.KS,삼성제약
010140.KS,삼성중공업
016360.KS,삼성증권
068290.KS,삼성출판사
029780.KS,삼성카드
000810.KS,삼성화재
000815.KS,삼성화재우
006110.KS,삼아알미늄
145990.KS,삼양사
145995.KS,삼양사우
003230.KS,삼양식품
002170.KS,삼양통상
272550.KS,삼양패키징
000070.KS,삼양홀딩스
000075.KS,삼양홀딩스우
003720.KS,삼영
002810.KS,삼영무역
005680.KS,삼영전자
023000.KS,삼원강재
004380.KS,삼익THK
002450.KS,삼익악기
004440.KS,삼일씨엔에스
000520.KS,삼일제약
009770.KS,삼정펄프
005500.KS,삼진제약
004690.KS,삼천리
010960.KS,삼호개발
004450.KS,삼화왕관
009470.KS,삼화전기
011230.KS,삼화전자
001820.KS,삼화콘덴서
000390.KS,삼화페인트
001290.KS,상상인증권
041650.KS,상신브레이크
075180.KS,새론오토모티브
007540.KS,샘표
248170.KS,샘표식품
007860.KS,서연
200880.KS,서연이화
017390.KS,서울가스
031210.KS,서울보증보험
004410.KS,서울식품
004415.KS,서울식품우
021050.KS,서원
008490.KS,서흥
007610.KS,선도전기
136490.KS,선진
014910.KS,성문전자
014915.KS,성문전자우
004980.KS,성신양회
004985.KS,성신양회우
011300.KS,성안머티리얼스
000180.KS,성창기업지주
002420.KS,세기상사
004360.KS,세방
004365.KS,세방우
004490.KS,세방전지
001430.KS,세아베스틸지주
306200.KS,세아제강
003030.KS,세아제강지주
019440.KS,세아특수강
058650.KS,세아홀딩스
013000.KS,세우글로벌
091090.KS,세원이앤씨
021820.KS,세원정공
067830.KS,세이브존I&C
075580.KS,세진중공업
068270.KS,셀트리온
336370.KS,솔루스첨단소재
33637K.KS,솔루스첨단소재1우
33637L.KS,솔루스첨단소재2우B
248070.KS,솔루엠
004430.KS,송원산업
017550.KS,수산세보틱스
126720.KS,수산인더스트리
053210.KS,스카이라이프
026890.KS,스틱인베스트먼트
134790.KS,시디즈
462870.KS,시프트업
016590.KS,신대양제지
029530.KS,신도리코
004970.KS,신라교역
011930.KS,신성이엔지
005390.KS,신성통상
004170.KS,신세계
035510.KS,신세계 I&C
031430.KS,신세계인터내셔날
031440.KS,신세계푸드
006880.KS,신송홀딩스
005800.KS,신영와코루
001720.KS,신영증권
009270.KS,신원
002700.KS,신일전자
002870.KS,신풍
019170.KS,신풍제약
019175.KS,신풍제약우
055550.KS,신한지주
004080.KS,신흥
102280.KS,쌍방울
004770.KS,써니전자
403550.KS,쏘카
004920.KS,씨아이테크
112610.KS,씨에스윈드
480370.KS,씨케이솔루션
308170.KS,씨티알모빌리티
008700.KS,아남전자
090430.KS,아모레퍼시픽
090435.KS,아모레퍼시픽우
002790.KS,아모레퍼시픽홀딩스
00279K.KS,아모레퍼시픽홀딩스3우C
002795.KS,아모레퍼시픽홀딩스우
002030.KS,아세아
183190.KS,아세아시멘트
002310.KS,아세아제지
012170.KS,아센디오
267850.KS,아시아나IDT
020560.KS,아시아나항공
122900.KS,아이마켓코리아
010780.KS,아이에스동서
031820.KS,아이티센씨티에스
139990.KS,아주스틸
009320.KS,아진전자부품
001780.KS,알루코
018250.KS,애경산업
161000.KS,애경케미칼
011090.KS,에넥스
137310.KS,에스디바이오센서
005850.KS,에스엘
010580.KS,에스엠벡셀
012750.KS,에스원
023960.KS,에쓰씨엔지니어링
298690.KS,에어부산
078520.KS,에이블씨엔씨
015260.KS,에이엔피
007460.KS,에이프로젠
003060.KS,에이프로젠바이오로직스
244920.KS,에이플러스에셋
278470.KS,에이피알
450080.KS,에코프로머티
019490.KS,엑시큐어하이트론
036570.KS,엔씨소프트
085310.KS,엔케이
900140.KS,엘브이엠씨홀딩스
066970.KS,엘앤에프
097520.KS,엠씨넥스
484870.KS,엠앤씨솔루션
014440.KS,영보화학
111770.KS,영원무역
009970.KS,영원무역홀딩스
003520.KS,영진약품
000670.KS,영풍
006740.KS,영풍제지
012280.KS,영화금속
012160.KS,영흥
007310.KS,오뚜기
002630.KS,오리엔트바이오
271560.KS,오리온
001800.KS,오리온홀딩스
005320.KS,온타이드
011690.KS,와이투솔루션
316140.KS,우리금융지주
006980.KS,우성
017370.KS,우신시스템
105840.KS,우진
010400.KS,우진아이엔에스
049800.KS,우진플라임
016880.KS,웅진
095720.KS,웅진씽크빅
005820.KS,원림
010600.KS,웰바이오텍
008600.KS,윌비스
033270.KS,유나이티드제약
014830.KS,유니드
446070.KS,유니드비티플러스
000910.KS,유니온
047400.KS,유니온머티리얼
011330.KS,유니켐
077500.KS,유니퀘스트
002920.KS,유성기업
000700.KS,유수홀딩스
003470.KS,유안타증권
003475.KS,유안타증권우
072130.KS,유엔젤
000220.KS,유유제약
000225.KS,유유제약1우
000227.KS,유유제약2우B
001200.KS,유진투자증권
000100.KS,유한양행
000105.KS,유한양행우
003460.KS,유화증권
003465.KS,유화증권우
008730.KS,율촌화학
008250.KS,이건산업
025820.KS,이구산업
214320.KS,이노션
139480.KS,이마트
457190.KS,이수스페셜티케미컬
007660.KS,이수페타시스
005950.KS,이수화학
015020.KS,이스타코
093230.KS,이아이디
074610.KS,이엔플러스
102460.KS,이연제약
084680.KS,이월드
000760.KS,이화산업
014990.KS,인디에프
101140.KS,인바이오젠
006490.KS,인스코비
023800.KS,인지컨트롤스
034590.KS,인천도시가스
129260.KS,인터지스
023810.KS,인팩
249420.KS,일동제약
000230.KS,일동홀딩스
013360.KS,일성건설
003120.KS,일성아이에스
003200.KS,일신방직
007110.KS,일신석재
007570.KS,일양약품
007575.KS,일양약품우
008500.KS,일정실업
081000.KS,일진다이아
020760.KS,일진디스플
103590.KS,일진전기
271940.KS,일진하이솔루스
015860.KS,일진홀딩스
226320.KS,잇츠한불
317400.KS,자이에스앤디
033240.KS,자화전자
000950.KS,전방
079900.KS,전진건설로봇
194370.KS,제이에스코퍼레이션
025620.KS,제이준코스메틱
030000.KS,제일기획
271980.KS,제일약품
001560.KS,제일연마
002620.KS,제일파마홀딩스
006220.KS,제주은행
089590.KS,제주항공
004910.KS,조광페인트
004700.KS,조광피혁
001550.KS,조비
462520.KS,조선내화
120030.KS,조선선재
018470.KS,조일알미늄
002600.KS,조흥
185750.KS,종근당
063160.KS,종근당바이오
001630.KS,종근당홀딩스
109070.KS,주성코퍼레이션
044380.KS,주연테크
013890.KS,지누스
013870.KS,지엠비코리아
071320.KS,지역난방공사
088790.KS,진도
003780.KS,진양산업
010640.KS,진양폴리
100250.KS,진양홀딩스
051630.KS,진양화학
272450.KS,진에어
011000.KS,진원생명과학
002780.KS,진흥기업
002787.KS,진흥기업2우B
002785.KS,진흥기업우B
009310.KS,참엔지니어링
000650.KS,천일고속
033250.KS,체시스
035720.KS,카카오
323410.KS,카카오뱅크
377300.KS,카카오페이
006380.KS,카프로
001620.KS,케이비아이동국실업
029460.KS,케이씨
281820.KS,케이씨텍
381970.KS,케이카
007815.KS,코리아써우
007810.KS,코리아써키트
00781K.KS,코리아써키트2우B
003690.KS,코리안리
192820.KS,코스맥스
044820.KS,코스맥스비티아이
005070.KS,코스모신소재
005420.KS,코스모화학
071950.KS,코아스
002020.KS,코오롱
138490.KS,코오롱ENP
003070.KS,코오롱글로벌
003075.KS,코오롱글로벌우
450140.KS,코오롱모빌리티그룹
45014K.KS,코오롱모빌리티그룹우
002025.KS,코오롱우
120110.KS,코오롱인더
120115.KS,코오롱인더우
021240.KS,코웨이
036420.KS,콘텐트리중앙
024720.KS,콜마홀딩스
192400.KS,쿠쿠홀딩스
284740.KS,쿠쿠홈시스
264900.KS,크라운제과
26490K.KS,크라운제과우
005740.KS,크라운해태홀딩스
005745.KS,크라운해태홀딩스우
259960.KS,크래프톤
020120.KS,키다리스튜디오
039490.KS,키움증권
014580.KS,태경비케이
015890.KS,태경산업
006890.KS,태경케미컬
003240.KS,태광산업
011280.KS,태림포장
004100.KS,태양금속
004105.KS,태양금속우
009410.KS,태영건설
009415.KS,태영건설우
001420.KS,태원물산
055490.KS,테이팩스
078000.KS,텔코웨어
214420.KS,토니모리
019180.KS,티에이치엔
363280.KS,티와이홀딩스
36328K.KS,티와이홀딩스우
091810.KS,티웨이항공
004870.KS,티웨이홀딩스
034230.KS,파라다이스
005690.KS,파미셀
036580.KS,팜스코
004720.KS,팜젠사이언스
028670.KS,팬오션
010820.KS,퍼스텍
016800.KS,퍼시스
001020.KS,페이퍼코리아
090080.KS,평화산업
010770.KS,평화홀딩스
022100.KS,포스코DX
058430.KS,포스코스틸리온
047050.KS,포스코인터내셔널
003670.KS,포스코퓨처엠
017810.KS,풀무원
103140.KS,풍산
005810.KS,풍산홀딩스
950210.KS,프레스티지바이오파마
009810.KS,플레이그램
086790.KS,하나금융지주
293480.KS,하나제약
039130.KS,하나투어
352820.KS,하이브
071090.KS,하이스틸
000080.KS,하이트진로
000087.KS,하이트진로2우B
000140.KS,하이트진로홀딩스
000145.KS,하이트진로홀딩스우
152550.KS,한국ANKOR유전
036460.KS,한국가스공사
005430.KS,한국공항
071050.KS,한국금융지주
071055.KS,한국금융지주우
010040.KS,한국내화
025540.KS,한국단자
010100.KS,한국무브넥스
004090.KS,한국석유
002200.KS,한국수출포장
002960.KS,한국쉘석유
000240.KS,한국앤컴퍼니
123890.KS,한국자산신탁
015760.KS,한국전력
006200.KS,한국전자홀딩스
027970.KS,한국제지
023350.KS,한국종합기술
025890.KS,한국주강
000970.KS,한국주철관
104700.KS,한국철강
017960.KS,한국카본
161890.KS,한국콜마
161390.KS,한국타이어앤테크놀로지
034830.KS,한국토지신탁
007280.KS,한국특강
047810.KS,한국항공우주
123690.KS,한국화장품
003350.KS,한국화장품제조
011500.KS,한농화성
002390.KS,한독
053690.KS,한미글로벌
042700.KS,한미반도체
008930.KS,한미사이언스
128940.KS,한미약품
009240.KS,한샘
020000.KS,한섬
003680.KS,한성기업
105630.KS,한세실업
069640.KS,한세엠케이
016450.KS,한세예스24홀딩스
010420.KS,한솔PNS
009180.KS,한솔로지스틱스
213500.KS,한솔제지
014680.KS,한솔케미칼
004710.KS,한솔테크닉스
004150.KS,한솔홀딩스
025750.KS,한솔홈데코
004960.KS,한신공영
011700.KS,한신기계
001750.KS,한양증권
001755.KS,한양증권우
018880.KS,한온시스템
009420.KS,한올바이오파마
014130.KS,한익스프레스
300720.KS,한일시멘트
002220.KS,한일철강
006390.KS,한일현대시멘트
003300.KS,한일홀딩스
051600.KS,한전KPS
052690.KS,한전기술
130660.KS,한전산업
002320.KS,한진
003480.KS,한진중공업홀딩스
180640.KS,한진칼
18064K.KS,한진칼우
005110.KS,한창
009460.KS,한창제지
372910.KS,한컴라이프케어
000880.KS,한화
00088K.KS,한화3우B
452260.KS,한화갤러리아
45226K.KS,한화갤러리아우
489790.KS,한화비전
088350.KS,한화생명
000370.KS,한화손해보험
009830.KS,한화솔루션
009835.KS,한화솔루션우
272210.KS,한화시스템
012450.KS,한화에어로스페이스
082740.KS,한화엔진
042660.KS,한화오션
003530.KS,한화투자증권
003535.KS,한화투자증권우
195870.KS,해성디에스
101530.KS,해태제과식품
143210.KS,핸즈코퍼레이션
000720.KS,현대건설
000725.KS,현대건설우
453340.KS,현대그린푸드
086280.KS,현대글로비스
064350.KS,현대로템
079430.KS,현대리바트
012330.KS,현대모비스
069960.KS,현대백화점
004560.KS,현대비앤지스틸
004310.KS,현대약품
017800.KS,현대엘리베이터
307950.KS,현대오토에버
011210.KS,현대위아
004020.KS,현대제철
005440.KS,현대지에프홀딩스
005380.KS,현대차
005387.KS,현대차2우B
005389.KS,현대차3우B
005385.KS,현대차우
001500.KS,현대차증권
011760.KS,현대코퍼레이션
227840.KS,현대코퍼레이션홀딩스
126560.KS,현대퓨처넷
001450.KS,현대해상
057050.KS,현대홈쇼핑
093240.KS,형지엘리트
003010.KS,혜인
111110.KS,호전실업
008770.KS,호텔신라
008775.KS,호텔신라우
378850.KS,화승알앤에이
241590.KS,화승엔터프라이즈
006060.KS,화승인더
013520.KS,화승코퍼레이션
010690.KS,화신
133820.KS,화인베스틸
010660.KS,화천기계
000850.KS,화천기공
016580.KS,환인제약
032560.KS,황금에스티
004800.KS,효성
094280.KS,효성ITX
298040.KS,효성중공업
298020.KS,효성티앤씨
298000.KS,효성화학
093370.KS,후성
005870.KS,휴니드
079980.KS,휴비스
005010.KS,휴스틸
000540.KS,흥국화재
000545.KS,흥국화재우
003280.KS,흥아해운
